"ORIGIN_AIRPORT_ID","DEST_AIRPORT_ID",
10279,11298,
10279,11292,
10279,12889,
10279,11259,
10279,11298,
10279,11292,
10279,11298,
10279,11298,
10299,11193,
10299,13930,
10299,14512,
10299,12892,
10299,12917,
10299,12478,
10299,14747,
10299,12173,
10299,13830,
10299,12892,
10299,10754,
10299,14709,
10299,10551,
10299,11630,
10299,10170,
10299,10165,
10299,10917,
10299,12758,
10299,14730,
10299,13891,
10299,13295,
10299,14730,
10299,13891,
10299,13295,
10299,14730,
10299,14730,
10299,13930,
10299,14107,
10299,11884,
10299,11298,
10299,12892,
10299,10245,
10299,11555,
10299,10551,
10299,11555,
10299,16390,
10299,14747,
10299,10754,
10299,12523,
10299,14709,
10299,10551,
10299,13970,
10299,10170,
10299,13873,
10299,10917,
10299,10926,
10299,14747,
10299,14747,
10299,14057,
10299,12892,
10299,14107,
10299,12758,
10299,12523,
10299,13970,
10299,14747,
10299,10754,
10299,12523,
10299,14709,
10299,10551,
10299,13970,
10299,13873,
10299,10926,
10299,14747,
10299,12523,
10299,14828,
10299,10926,
10299,14747,
10299,12523,
10299,10165,
10299,14709,
10299,14485,
10299,14709,
10299,14485,
10299,14709,
10299,14747,
10299,10245,
10299,11630,
10299,13196,
10299,11924,
10299,14747,
10299,14869,
10299,13487,
10299,14747,
10299,11292,
10299,10551,
10299,13970,
10299,13873,
10299,12807,
10299,10225,
10299,10245,
10299,10551,
10299,13970,
10299,13873,
10299,14485,
10299,11445,
10299,10304,
10299,11336,
10299,11550,
10299,11630,
10299,10170,
10299,13796,
10299,13244,
10299,12339,
10299,13873,
10299,10551,
10299,13970,
10299,10245,
10299,10304,
10299,11336,
10299,15478,
10299,10551,
10299,15293,
10299,11550,
10299,10304,
10299,12321,
10299,11193,
10299,13930,
10299,12892,
10299,12917,
10299,12478,
10299,11193,
10299,13930,
10299,12892,
10299,12478,
10299,11555,
10299,12184,
10299,11630,
10299,15236,
10299,14919,
10299,15012,
10299,12321,
10299,10926,
10299,12819,
10299,14256,
10299,15171,
10299,15841,
10299,15991,
10299,10245,
10299,12523,
10299,10551,
10299,11630,
10299,14828,
10299,10170,
10299,10304,
10299,10299,
10299,11445,
10299,10917,
10299,14738,
10299,11336,
10299,14919,
10299,10783,
10299,10245,
10299,10551,
10299,14816,
10299,10170,
10299,10299,
10299,11445,
10299,10917,
10299,14738,
10299,11336,
10299,10245,
10299,10551,
10299,11630,
10299,10170,
10299,10299,
10299,11555,
10299,12184,
10299,14738,
10299,11445,
10299,10917,
10299,11336,
10299,15478,
10299,15579,
10299,10245,
10299,10551,
10299,11630,
10299,10170,
10299,10299,
10299,11445,
10299,10917,
10299,11336,
10299,13487,
10299,11630,
10299,15478,
10299,10304,
10299,13930,
10299,12892,
10299,10299,
10299,13930,
10299,12892,
10299,12321,
10299,12748,
10299,13715,
10299,10917,
10299,12841,
10299,12737,
10299,11193,
10299,13303,
10299,13930,
10299,14512,
10299,10693,
10299,12892,
10299,10299,
10299,12917,
10299,12217,
10299,12478,
10299,10994,
10299,13930,
10299,12478,
10299,11193,
